Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,CHG_PCT_1D,VOLATILITY_30D
3/15/1929,26.08,26.08,26.08,26.08,1.36,20.35
3/18/1929,26.04,26.04,26.04,26.04,-0.15,20.35
3/19/1929,26.03,26.03,26.03,26.03,-0.04,20.16
3/20/1929,26.02,26.02,26.02,26.02,-0.04,17.37
3/21/1929,25.9,25.9,25.9,25.9,-0.46,17
3/22/1929,25.55,25.55,25.55,25.55,-1.35,16.45
3/25/1929,24.51,24.51,24.51,24.51,-4.07,21.06
3/26/1929,24.35,24.35,24.35,24.35,-0.65,20.75
3/27/1929,25.09,25.09,25.09,25.09,3.04,22.74
3/28/1929,25.53,25.53,25.53,25.53,1.75,22.34
3/29/1929,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22.76
4/1/1929,24.88,24.88,24.88,24.88,-2.55,24.31
4/2/1929,25.17,25.17,25.17,25.17,1.17,24.42
4/3/1929,24.86,24.86,24.86,24.86,-1.23,24.53
4/4/1929,25.3,25.3,25.3,25.3,1.77,25.13
4/5/1929,25.05,25.05,25.05,25.05,-0.99,24.86
4/8/1929,24.83,24.83,24.83,24.83,-0.88,25.01
4/9/1929,24.63,24.63,24.63,24.63,-0.81,24.82
4/10/1929,24.78,24.78,24.78,24.78,0.61,24.51
4/11/1929,25.06,25.06,25.06,25.06,1.13,24.6
4/12/1929,25.15,25.15,25.15,25.15,0.36,24.33
4/15/1929,25,25,25,25,-0.6,24.31
4/16/1929,25.06,25.06,25.06,25.06,0.24,23.83
4/17/1929,25.32,25.32,25.32,25.32,1.04,23.87
4/18/1929,25.43,25.43,25.43,25.43,0.43,23.83
4/19/1929,25.41,25.41,25.41,25.41,-0.08,23.39
4/22/1929,25.7,25.7,25.7,25.7,1.14,23.61
4/23/1929,25.85,25.85,25.85,25.85,0.58,23.47
4/24/1929,25.75,25.75,25.75,25.75,-0.39,22.77
4/25/1929,25.63,25.63,25.63,25.63,-0.47,22.4
4/26/1929,25.58,25.58,25.58,25.58,-0.2,22.41
4/29/1929,25.53,25.53,25.53,25.53,-0.2,22.41
4/30/1929,25.94,25.94,25.94,25.94,1.61,22.97
5/1/1929,25.99,25.99,25.99,25.99,0.19,22.94
5/2/1929,26.11,26.11,26.11,26.11,0.46,22.56
5/3/1929,26.37,26.37,26.37,26.37,1,18.31
5/6/1929,26.32,26.32,26.32,26.32,-0.19,18.14
5/7/1929,26.07,26.07,26.07,26.07,-0.95,16.35
5/8/1929,26.18,26.18,26.18,26.18,0.42,15.58
5/9/1929,26.02,26.02,26.02,26.02,-0.61,13.32
5/10/1929,26.34,26.34,26.34,26.34,1.23,13.46
5/13/1929,25.64,25.64,25.64,25.64,-2.66,15.67
5/14/1929,25.95,25.95,25.95,25.95,1.21,15.49
5/15/1929,25.84,25.84,25.84,25.84,-0.42,14.74
5/16/1929,25.97,25.97,25.97,25.97,0.5,14.42
5/17/1929,26.09,26.09,26.09,26.09,0.46,14.1
5/20/1929,25.39,25.39,25.39,25.39,-2.68,16.32
5/21/1929,25.7,25.7,25.7,25.7,1.22,16.59
5/22/1929,24.76,24.76,24.76,24.76,-3.66,19.91
5/23/1929,25.31,25.31,25.31,25.31,2.22,20.98
5/24/1929,25.12,25.12,25.12,25.12,-0.75,21.03
